objectid,cl,logradouro,codbairro,bairro,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação,source
1328978,126680,RUA CHOVE LA FORA,151,Guaratiba                 ,2,TERRITORIAL,100.0,300.0,26136.01,26136.01,COMPRA E VENDA,2021,Prefeitura da Cidade do Rio de Janeiro
1328979,135830,RUA ENRICO CARUSO,151,Guaratiba                 ,2,TERRITORIAL,100.0,360.0,64745.99,64745.99,COMPRA E VENDA,2021,Prefeitura da Cidade do Rio de Janeiro
1328980,136028,RUA TORRE DE PEDRA,151,Guaratiba                 ,2,TERRITORIAL,75.0,345.0,51107.765,65957.77,COMPRA E VENDA,2021,Prefeitura da Cidade do Rio de Janeiro
1328981,136036,RUA VARGEM DO CEDRO,151,Guaratiba                 ,2,TERRITORIAL,100.0,375.0,77932.79,77932.79,COMPRA E VENDA,2021,Prefeitura da Cidade do Rio de Janeiro
1328982,225391,RUA FRANCISCO MIGNONE,151,Guaratiba                 ,3,TERRITORIAL,100.0,416.0,167867.376666,167867.376666,COMPRA E VENDA,2021,Prefeitura da Cidade do Rio de Janeiro
1328983,225441,RUA WILSON SIMONAL,151,Guaratiba                 ,3,TERRITORIAL,100.0,658.0,434279.993333,434279.993333,COMPRA E VENDA,2021,Prefeitura da Cidade do Rio de Janeiro
1328984,497396,RUA FRANCISCO DE CASTRO NOBREGA,151,Guaratiba                 ,19,TERRITORIAL,100.0,248.052631,29909.340526,29909.340526,COMPRA E VENDA,2021,Prefeitura da Cidade do Rio de Janeiro
1328985,497461,RUA CARLOS CAFI FILHO,151,Guaratiba                 ,2,TERRITORIAL,100.0,244.5,33541.205,33541.205,COMPRA E VENDA,2021,Prefeitura da Cidade do Rio de Janeiro
1328986,126524,RUA SOLD JOSE WSOEK,153,Pedra de Guaratiba        ,2,TERRITORIAL,75.0,305.0,42042.0,56756.695,COMPRA E VENDA,2021,Prefeitura da Cidade do Rio de Janeiro
1328987,194449,RUA NOVO HORIZONTE DA VILA DO JOAO,157,Maré                      ,5,TERRITORIAL,100.0,725.0,46071.96,46071.96,COMPRA E VENDA,2021,Prefeitura da Cidade do Rio de Janeiro
